t_ms,ax,ay,az,gx,gy,gz
34130,-6222,-2117,-1182,2513,9276,-18590
34140,-10975,455,731,61,5112,-9160
34150,-13872,1790,2355,4040,359,-5519
34160,-20525,5169,242,4381,-642,-979
34170,-27862,18758,468,1656,-10698,5394
34180,-19865,17697,2696,-4301,-8678,20517
34190,-3366,8593,11954,-20407,-6044,30946
34200,8464,-7048,3621,-436,-18217,30221
34210,16143,-19664,-5733,-8968,-11909,32764
34220,16922,-29326,-7317,-11870,-22580,32764
34230,14598,-26636,-12320,1576,-20104,32764
34240,12506,-27669,-12649,2539,-30163,32764
34250,27179,-19261,-10423,-6674,-8890,32764
34260,25806,-12996,-5607,-23387,18070,18850
34270,21984,-20248,568,-21276,-3407,7446
34280,32749,-31140,14158,-16397,-32764,-6950
34290,32750,-32764,-7605,21599,12639,-10210
34300,32750,-32764,-15114,4188,29034,-25173
34310,31893,-32764,-14660,4859,-4113,-31459
34320,19151,-22121,-12780,31,-1248,-32332
34330,24806,-17194,-8464,-14007,-26987,-30340
34340,9588,-29846,-19162,4978,32735,-32764
34350,-7720,-26170,-19659,4632,27770,-32764
34360,6752,-22846,-15320,-10149,12668,-18502
34370,7025,-18334,-15789,-3529,15300,-24272
34380,-8577,-7722,-5126,-7653,13084,-29873
34390,-31006,7098,8159,211,2914,-13496
34400,-32764,17769,9571,-7409,390,-3687
34410,-27102,13434,2822,-4208,4563,22034
34420,-8562,-5663,-2233,-9050,3037,20290
34430,-6881,-12249,-2654,-17804,-9827,17642
34440,7357,-32272,-9099,-18445,-22127,32764
34450,25871,-23506,-16526,-22313,-7717,32764
34460,24221,-27009,-20765,-14660,-32764,14137
34470,27059,-17445,-13364,-5585,-32271,28443
34480,32696,-10683,-12683,-9446,-14802,27845
34490,32750,-20359,-9354,-18392,-25801,8565
34500,32750,-22933,106,4999,-4901,-4760
34510,32750,-26198,-32750,20226,11388,-19114
34520,32750,-29203,-32546,-6336,21855,-19639
34530,23769,-18258,-20218,1714,13987,-25806
34540,15196,-9455,-16286,85,19228,-28802
34550,13668,-15415,-14949,4255,24807,-27742
34560,5413,-15384,-14087,1537,32232,-32194
34570,3681,-14944,-12537,4603,18263,-27846
34580,2836,-13238,-10215,691,22951,-23915
34590,3769,-12741,-8327,3168,19380,-22254
34600,-18495,-458,-3944,-6112,15543,-27133
34610,-20222,3126,7351,3078,4466,-2967
34620,-27588,18395,5073,4360,7800,-4236
34630,-26301,16715,3635,-1389,1722,4121
34640,-28391,16355,4571,-4930,-2204,951
34650,-25354,-2591,1450,-14614,-16397,11586
34660,1155,-13673,-4972,795,-22040,32764
34670,16406,-23488,-12046,-6638,-16634,32764
34680,18708,-24914,-14345,-5277,-26793,32764
34690,11566,-23354,-12473,711,-28021,31612
34700,17423,-27264,-14995,6627,-28159,32764
34710,26027,-22556,-14655,-7685,-4406,32764
34720,32750,-21978,-2600,-24760,7013,25796
34730,32750,-30869,24260,-298,9905,7298
34740,32750,-32764,24928,27934,11504,6018
34750,32750,-32764,12736,11234,1776,-6856
34760,32750,-32764,314,-8806,-3609,-11926
34770,26584,-31172,-3021,-7639,18092,-20187
34780,15773,-14865,-2527,354,18099,-17705
34790,23680,-13729,-7487,9339,7782,-23610
34800,10374,-21721,-10292,19640,31265,-32764
34810,-1376,-22831,-14216,24348,28232,-32764
34820,1886,-16402,-8120,10301,16730,-19880
34830,6350,-14395,-7709,11831,16939,-15641
34840,2787,-645,-4634,15174,8509,-16537
34850,-19480,9503,-1196,9241,-3681,-19327
34860,-20058,23754,2872,6323,-5678,-7405
34870,-29726,16057,3907,-2461,3308,-71
34880,-25569,13705,2107,-7876,813,9643
34890,-16125,-5104,722,-13254,-4448,14859
34900,-8380,-9779,-5273,-2890,-22274,23818
34910,11196,-26268,-13743,-10335,-26438,32764
34920,24776,-24905,-13335,-14596,-11350,32764
34930,23016,-22204,-10519,-15042,-17214,26197
34940,23501,-17563,-9848,-15247,-20933,21801
34950,31062,-14381,-3043,-28364,-14656,23054
34960,32750,-24276,7366,-30214,-4755,12575
34970,32750,-25254,13075,-15162,-11451,1991
34980,32750,-31615,10905,4061,-5482,-5639
34990,32750,-32764,-5755,15095,7912,-11979
35000,32750,-25920,-9996,12942,7732,-19655
35010,26680,-14222,-10842,11951,15649,-20146
35020,19535,-8984,-9856,5577,22596,-21997
35030,20888,-16280,-12043,6337,26877,-30054
35040,13554,-17168,-15242,13823,19634,-32764
35050,7935,-16666,-13803,8880,25227,-32759
35060,803,-13233,-11875,6484,22670,-27963
35070,1715,-7093,-5231,2422,21473,-15048
35080,-20656,-864,-281,9128,13187,-20434
35090,-32620,4622,534,9928,-13976,-16427
35100,-29476,14061,3863,-520,-3201,6483
35110,-24344,11525,1722,-9745,4358,13688
35120,-13540,999,733,-8468,-14681,19094
35130,-1630,-8977,-161,-10370,-24459,27496
35140,8841,-15710,-6612,-9209,-24266,32764
35150,22768,-19965,-14148,4333,-18138,32764
35160,19608,-20238,-13534,-1845,-26736,31697
35170,24069,-16463,-12091,-5357,-18574,32764
35180,23598,-13032,-12112,-9724,-16922,24790
35190,28922,-12607,-9549,-23110,-2856,22670
35200,32750,-29192,199,-32764,16470,24569
35210,32750,-32764,24158,-8481,-1672,459
35220,32750,-32764,8004,23124,-4855,-8386
35230,32750,-32764,100,17510,8430,-4229
35240,29407,-20523,-4389,13077,-2500,-12343
35250,26098,-5778,-7184,6627,5949,-14626
35260,27144,-16173,-7650,6080,29075,-11518
35270,14905,-20968,-15181,24355,32764,-21874
35280,11272,-23147,-17713,31059,24145,-29764
35290,12271,-27050,-11866,22166,22942,-30109
35300,10711,-15788,-10876,23385,27221,-21407
35310,-3869,-10444,-11064,32764,-1545,-32764
35320,-28306,7962,-7966,12941,2392,-28828
35330,-32764,17692,-5007,2553,-1196,-4367
35340,-29868,19930,-4450,-10025,3404,8393
35350,-27593,5800,-652,-14664,3778,15271
35360,-15590,-7077,1419,-19651,-7764,23367
35370,464,-18448,-784,-14475,-25465,31822
35380,22219,-31649,-6951,-16036,-12567,32764
35390,18621,-21841,-6897,-26123,-1278,32686
35400,16274,-24673,-6071,-27080,-11589,25775
35410,16728,-22214,-4518,-30232,-7946,20628
35420,19257,-21407,-1511,-31117,-1868,15657
35430,13436,-32764,13901,-32274,-16949,3897
35440,30764,-32764,17360,-6483,-32764,-2047
35450,32750,-32764,8936,-1964,-8513,696
35460,32750,-32764,6738,1502,7614,-605
35470,32750,-32764,-621,18107,2365,-12137
35480,29740,-30040,-6736,19563,5422,-18730
35490,23298,-20649,-4336,7292,6018,-22939
35500,16539,-16115,-970,1682,19251,-21575
35510,12595,-18450,-6357,20367,27720,-22460
35520,8916,-19762,-14162,30407,16972,-29099
35530,12693,-21033,-12550,23240,8809,-32764
35540,14569,-19827,-12589,12272,21128,-30259
35550,4626,-7037,-6931,1786,32764,-27519
35560,-18394,-898,7008,7878,16585,-20904
35570,-28332,12774,-10403,27180,6373,-5022
35580,-32764,18429,-9868,548,-8339,-2449
35590,-20501,10420,-4992,-9737,-7374,12457
35600,-10938,5008,-3892,-8866,-2288,13426
35610,-10049,-13488,-1098,-22735,-12401,24158
35620,12797,-25646,-4901,-24549,-20062,32764
35630,24742,-24761,-6656,-26353,-12425,32764
35640,15157,-20574,-5841,-21125,-15636,20527
35650,14323,-18536,-6603,-18398,-15939,21837
35660,17353,-16720,-3778,-24800,-12897,19710
35670,23798,-28376,6134,-22852,-7378,11726
35680,32750,-32764,22928,-2472,-9492,4897
35690,32750,-31653,25204,-2905,-19119,-2769
35700,32750,-32764,13309,-8107,12530,-3848
35710,32750,-32764,2462,-1780,16148,-12921
35720,26735,-23823,-1006,9013,8783,-16287
35730,20747,-16670,-4290,20936,19186,-18796
35740,16278,-21858,-9222,28791,28286,-19726
35750,13746,-22976,-13020,31691,26394,-24355
35760,13356,-25219,-14019,28719,28132,-32716
35770,6615,-19060,-13000,24514,10690,-30143
35780,2824,-14588,-6976,20357,7023,-27355
35790,-13450,-1686,-8283,16274,8995,-16621
35800,-31399,16387,-5269,8913,-7242,-9653
35810,-32764,26777,-7904,5790,-11022,-5563
35820,-31384,12561,-3255,-12907,-4112,14634
35830,-14651,-2409,552,-16254,-11580,21018
35840,5895,-12546,-348,-12497,-9203,32421
35850,10551,-19532,521,-21549,1902,29373
35860,15490,-23578,-1914,-23712,-4982,32764
35870,16606,-20011,-3985,-25150,-4144,28309
35880,12677,-19340,-4699,-28342,-6032,21324
35890,14546,-20028,-4556,-31004,-6150,18474
35900,17296,-23089,-2571,-32764,-6405,13183
35910,28220,-32764,13442,-18317,-31647,10528
35920,32750,-32764,32764,15102,-22328,821
35930,32750,-28137,23379,4283,-3325,-1181
35940,32750,-32764,20274,-23577,12010,-10930
35950,28523,-32764,10608,1635,8857,-18529
35960,28226,-31115,2962,17377,13837,-13790
35970,20808,-18951,-548,18984,9283,-17953
35980,19079,-19442,-1184,16433,12425,-23904
35990,11218,-23168,-7438,28551,20090,-31369
36000,9325,-22822,-9129,29691,28752,-26217
36010,8980,-21152,-9393,28761,32764,-15014
36020,7841,-13389,-10313,27363,32763,-3680
36030,-3583,12228,-8155,21185,-9350,-11312
36040,4945,11665,-4096,21402,-27912,-7572
36050,-5795,21750,-11856,15691,13133,-14856
36060,-32764,15002,-6167,-14277,9607,-4279
36070,-19862,9652,-1429,-20201,-18576,590
