t_ms,ax,ay,az,gx,gy,gz
6
68490,21780,-20911,11143,-4492,-15076,32764
68500,28567,-20844,9704,3415,-23196,32764
68510,31103,-16597,8538,4245,-12194,32764
68520,28037,-9783,6261,4209,-9935,30199
68530,26399,-1031,5451,1073,-4817,21067
68540,24415,2956,6111,-2696,-18,10113
68550,23241,2000,7533,-4497,713,-3184
68560,27733,-3975,9153,-4120,1275,-15987
68570,31137,-13021,10342,-4457,5191,-30039
68580,32750,-23455,7631,-3785,3833,-32764
68590,31042,-24659,4608,-4527,5690,-32764
68600,21856,-21507,2073,-5774,17230,-32764
68610,11498,-14519,1135,-2558,23393,-26981
68620,4036,-9646,2348,-567,14876,-16737
68630,936,-7296,2895,1458,6842,-8903
68640,-1566,-5959,2489,3129,1039,-2038
68650,-3635,-6017,2218,2395,-4036,6400
68660,-1504,-9122,2037,-1136,-8247,17321
68670,10581,-14980,5990,-7913,-6611,31258
68680,20187,-20248,10116,-9566,-1845,32764
68690,27196,-20797,11038,-1304,-29217,30428
68700,30933,-15461,7564,9089,-19847,27905
68710,28065,-10031,5623,10636,-13722,24974
68720,25385,-3494,4760,12009,-9147,17329
68730,24153,2503,1918,10186,-4019,9576
68740,25936,6920,-1440,5856,-1671,-1020
68750,27451,3558,-842,-6355,1763,-12691
68760,32744,-7573,2723,-15590,-3058,-27447
68770,32750,-17579,4392,-17504,1291,-32764
68780,30628,-20530,3690,-16039,10487,-32764
68790,21287,-18579,3301,-12005,14697,-32764
68800,12272,-12978,3267,-6151,17060,-26983
68810,5239,-9046,2746,-2117,12915,-16883
68820,-334,-9043,2129,83,6095,-7372
68830,-5445,-9307,1442,1620,-1662,1978
68840,-6276,-8840,1890,358,-9655,15348
68850,3101,-15087,3201,-1466,-13977,30130
68860,25729,-21018,5157,1221,-22144,32764
68870,32750,-21311,7938,10479,-9685,32764
68880,30588,-18438,7086,11295,6851,32764
68890,26448,-15234,7316,9849,-1747,32764
68900,25773,-10811,6411,12051,-6181,27194
68910,22253,-3434,3344,13123,-3029,17509
68920,19234,2438,856,8768,345,10512
68930,19121,2078,385,650,493,2495
68940,24149,-2610,1782,-8130,-5620,-9429
68950,31365,-10940,1385,-15145,-9117,-24489
68960,32743,-19984,161,-22737,-8998,-32764
68970,32750,-25020,2782,-28705,-3831,-32764
68980,29905,-25052,3875,-21415,15789,-32764
68990,17711,-18968,2178,-10766,16575,-32764
69000,10205,-12048,2000,-4349,17375,-25291
69010,3253,-7278,2912,100,10496,-16140
69020,-71,-5290,3175,3287,4384,-9637
69030,-1828,-4144,2735,4970,428,-1737
69040,-2358,-3019,1862,5201,-3841,9003
69050,1140,-7499,2463,2571,-8317,21204
69060,14636,-13659,2746,4158,-3507,32764
69070,21438,-20125,1222,8243,-21427,32132
69080,32749,-21726,27,15788,-18207,32764
69090,32357,-18039,-3970,21703,-16949,27173
69100,30893,-12008,-4538,23010,-5235,23495
69110,27578,-6644,-4485,20826,136,18703
69120,23765,-2578,-5281,17844,2040,12435
69130,19177,1884,-6226,9727,240,4447
69140,17657,2636,-6016,656,-1451,-812
69150,21240,-505,-5283,-9042,-2595,-4779
69160,24208,-4583,-4507,-16492,-3445,-11190
69170,27208,-10791,-3902,-24442,960,-17683
69180,31540,-15153,-2526,-25942,-9188,-24917
69190,31728,-18961,-3476,-24243,5501,-25323
69200,21417,-16813,-3009,-18309,11606,-25865
69210,17367,-13421,-2699,-11768,7269,-24909
69220,9118,-9188,-883,-7315,10957,-20037
69230,5171,-5574,1123,-2629,2472,-15934
69240,2512,-3087,2328,1220,-703,-8967
69250,-447,-2077,2103,4295,-4626,-1720
69260,-680,-2516,1829,5568,-9224,8042
69270,8369,-8029,-85,9162,-11283,21531
69280,17282,-12556,-2084,13856,-4685,25436
69290,19798,-17238,-4841,15970,-8892,26599
69300,28441,-18828,-7748,22373,-6744,24558
69310,25814,-19856,-8725,22595,-3026,22482
69320,25632,-17448,-8736,23908,-4439,18854
69330,23450,-12425,-9571,26167,-6344,14354
69340,20047,-5204,-9977,23741,-3731,7472
69350,16440,-1261,-10897,19376,-2256,2623
69360,18481,-20,-12852,6816,-1311,-198
69370,16962,-2088,-10990,-5977,-2057,-4844
69380,17805,-6701,-10009,-17280,230,-6824
69390,23274,-12661,-10969,-25024,3688,-8062
69400,24906,-17792,-12837,-30432,-1136,-13654
69410,30980,-22061,-10733,-32764,1008,-18523
69420,26232,-21917,-9155,-32371,14812,-23185
69430,19194,-20197,-5867,-24249,13823,-25358
69440,11839,-14953,-2370,-16565,14024,-23012
69450,4468,-9384,820,-8682,11154,-18687
69460,-936,-5540,3290,-2809,3976,-9950
69470,-2346,-5148,4514,2393,-1568,-1437
69480,-1892,-5658,4373,5855,-1427,11872
69490,2119,-11985,3786,8016,-5308,22991
69500,11045,-22315,-489,15985,-9440,32630
69510,24624,-25973,-5322,20615,-5125,32764
69520,26541,-31925,-8091,23341,-12917,31399
69530,28001,-28753,-9411,25526,-9421,28647
69540,24958,-22723,-9292,23042,-5670,23848
69550,23600,-17037,-8298,19558,-3494,19993
69560,20069,-8641,-7500,13717,388,13593
69570,18760,-3408,-7160,5650,1516,7837
69580,18905,-2226,-6579,-3346,4457,2494
69590,21058,-6576,-5078,-11379,4415,-3671
69600,22230,-12944,-5115,-14714,6889,-15878
69610,23121,-19634,-6792,-21443,1603,-22595
69620,25429,-27590,-5828,-25904,3803,-28421
69630,24603,-29876,-5410,-21900,11985,-28402
69640,19380,-27278,-4938,-14575,14981,-27763
69650,12850,-21498,-2229,-9503,13521,-25943
69660,6266,-14728,45,-3725,9872,-21391
69670,2478,-10138,1320,-456,5930,-15930
69680,-229,-7183,1985,1580,3338,-8980
69690,-2701,-6776,2252,2702,28,1958
69700,-1675,-8118,3133,2822,-3567,13243
69710,3538,-14172,2890,5805,-8078,23168
69720,10853,-20813,57,10802,-8814,29622
69730,20488,-29858,-4542,15950,-9552,31782
69740,23816,-29871,-7389,17162,-8597,27932
69750,23013,-27632,-7216,16061,-9790,27485
69760,23929,-22949,-7037,16566,-7871,25153
69770,22112,-16541,-7050,14802,-6989,20574
69780,20566,-8048,-6999,12034,-9247,12885
69790,20362,-2816,-7871,6368,-5416,7146
69800,20588,-3062,-6898,-4606,1831,-1120
69810,20687,-7480,-6837,-10250,6241,-8357
69820,20682,-14521,-8069,-16183,6857,-16909
69830,24373,-22928,-8526,-21177,7906,-22981
69840,26637,-30500,-8493,-22492,12219,-29061
69850,21756,-32246,-7613,-19735,13133,-32127
69860,15396,-26596,-4765,-15363,15306,-30576
69870,9591,-20179,-396,-10715,13642,-26273
69880,5179,-14911,1020,-4260,9190,-20877
69890,1591,-9957,2134,388,2375,-14549
69900,-1283,-7731,2028,2993,1234,-6829
69910,-3314,-6313,2393,3632,-1885,5717
69920,-783,-9875,2502,4873,-5436,18121
69930,8507,-18602,651,7839,-9575,29348
69940,20310,-26507,-2588,14405,-8584,32645
69950,24810,-28153,-5506,15200,-4272,32311
69960,23156,-27046,-5704,14051,-9385,28847
69970,24305,-23946,-5208,16515,-9284,27264
69980,21965,-17204,-6541,18112,-9250,22602
69990,21820,-11853,-6165,15681,-10422,17446
70000,22387,-5229,-6079,11217,-8446,8356
70010,20263,-1840,-7933,4363,-4570,-3160
70020,18684,-5690,-8341,-5003,-3342,-10139
70030,19941,-12266,-9490,-15230,-2305,-14568
70040,21816,-21005,-11232,-25025,5656,-18864
70050,24007,-29505,-9653,-31938,7353,-22747
70060,24313,-31538,-7202,-28893,4821,-27183
70070,18715,-26235,-4861,-22042,12023,-27475
70080,11724,-20165,-3054,-13990,10092,-26449
70090,6425,-13955,-177,-9518,5876,-20951
70100,3141,-10240,1595,-5015,2559,-15549
70110,-251,-7088,2549,449,1950,-7314
70120,-2250,-6170,2745,3850,1032,2102
70130,-2722,-9107,2235,6505,-6397,13423
70140,8642,-18243,-2982,16567,-16305,25268
70150,19925,-22953,-9110,25169,-10751,27905
70160,20969,-25984,-11269,22206,-2397,26671
70170,23709,-25783,-12797,24868,-6690,25454
70180,24430,-22136,-12038,22606,-503,21913
70190,21078,-15939,-10863,19004,-3988,17951
70200,20905,-7657,-9921,15066,-4069,11418
70210,19180,-2942,-10363,8663,-1143,5473
70220,20105,-2476,-9914,-2987,2808,-1807
70230,19366,-8660,-9573,-13001,6337,-9221
70240,20310,-14488,-8485,-19424,8445,-14944
70250,20768,-22318,-8917,-23035,11761,-19605
70260,21367,-27916,-7739,-23694,16951,-21441
70270,20317,-26493,-6009,-17868,19877,-24605
70280,15161,-24074,-4132,-11602,19661,-26836
70290,10435,-18286,-1813,-6348,13372,-25046
70300,6011,-14124,266,-1114,8125,-22588
70310,1651,-10521,1289,2792,5736,-17545
70320,-2420,-7129,1820,4015,4298,-6111
70330,-4458,-6371,2891,1032,3836,7235
70340,-673,-11993,3435,-656,819,22494
70350,12439,-24991,1102,211,-5191,32764
70360,21060,-27789,694,-2722,-112,32764
70370,22743,-32110,566,503,-12947,32764
70380,23472,-28951,-428,7725,-16036,29249
70390,22446,-20736,-379,8027,-8740,28384
70400,22043,-14910,527,6602,-8717,24541
70410,22564,-8147,1482,4803,-2904,16963
70420,21653,-4645,3014,1465,3897,8387
70430,20473,-6320,780,-1478,3886,-3184
70440,21812,-13381,1236,-6447,-57,-18896
70450,21494,-19754,-1477,-9352,6163,-26854
70460,23768,-29286,-2956,-12279,15685,-31422
70470,22340,-32764,-3488,-14454,22910,-32764
70480,17901,-31493,-1351,-7260,27193,-32764
70490,11445,-24415,-843,2134,32764,-27487
70500,6095,-18427,224,7565,29064,-21110
70510,2953,-12354,1599,10207,14257,-15461
70520,1117,-8671,1797,11393,6252,-13813
70530,-2375,-5861,361,10002,6331,-9779
70540,-5509,-4156,-346,548,-1108,1870
70550,-2911,-8922,2932,-12461,-10078,16955
70560,6586,-19199,4359,-17189,-18826,32242
70570,15688,-26895,5309,-12244,-18381,32764
70580,18552,-32764,4448,-5756,-13930,32764
70590,19382,-32493,3102,-3978,-19631,32764
70600,20740,-28092,3277,-2123,-22470,30105
70610,21315,-19964,4467,-2041,-13406,26487
70620,20851,-11540,4734,-2313,-6376,19635
70630,20955,-7012,4682,-544,-1275,5802
70640,18482,-7852,4005,-1258,561,-6423
70650,20421,-11511,3081,-3496,-2238,-17645
70660,23682,-19129,1329,-6570,4507,-27395
70670,24885,-30049,-1335,-8360,15152,-32764
70680,22778,-32764,-2693,-8971,23719,-32764
70690,18991,-32764,-1555,-5796,21601,-32764
70700,13339,-26668,-659,865,23773,-31106
70710,6776,-17699,-349,6641,24160,-22708
70720,3454,-12812,86,8167,18442,-15824
70730,-1623,-8590,-399,9310,4936,-10873
70740,-4932,-5573,-1495,6627,-8208,-5313
