t_ms,ax,ay,az,gx,gy,gz
33770,1447,-4141,15926,146,3247,48
33780,-152,-4125,14900,178,-2488,137
33790,-101,-4089,14658,135,-13051,1083
33800,4790,-4478,14852,403,-24296,2424
33810,11218,-3847,15261,1590,-20527,1593
33820,12753,-3695,13671,2772,-7352,403
33830,10104,-3531,11644,900,2001,-13
33840,9402,-3150,11987,-2296,15391,1174
33850,7716,-3710,14217,-3831,13110,612
33860,5968,-4900,15904,-1871,6611,-756
33870,3599,-5123,14934,-823,4780,-698
33880,3874,-4656,14194,-1417,-149,-297
33890,5697,-5173,15754,-1421,-1789,6
33900,5857,-5224,15371,-179,-498,-209
33910,5289,-4977,14744,9,634,-220
33920,5132,-5077,14979,-661,-227,-318
33930,5320,-5158,14949,-629,510,-165
33940,4824,-5130,14352,-1181,-814,-150
33950,5282,-5674,15439,-1806,-2348,-68
33960,5917,-5694,14557,-1338,-1768,-26
33970,6470,-6126,15266,-719,-837,205
33980,5761,-5809,14389,-217,-253,17
33990,5920,-5955,14635,-638,-695,136
34000,5716,-6066,14289,-1383,-703,398
34010,5540,-6023,13912,-2085,-1517,717
34020,6836,-6815,14525,-2569,-1574,901
34030,6143,-6743,13827,637,506,740
34040,6060,-6686,13972,-387,-404,258
34050,6479,-6523,14034,-213,108,137
34060,5931,-6833,13935,-667,530,146
34070,5731,-7093,14143,-882,535,369
34080,6178,-6777,13698,-694,227,367
34090,6149,-7292,14377,154,288,604
34100,5789,-7091,14018,287,-228,408
34110,5955,-7027,14034,265,-298,414
34120,5932,-6907,14017,299,-127,435
34130,5999,-6973,14061,177,-75,456
34140,5673,-6975,14053,282,-152,454
34150,5951,-6737,13910,205,-296,411
34160,6005,-6678,14062,309,-96,514
34170,5799,-7053,14244,297,-214,623
34180,5790,-6978,14069,447,-514,510
34190,5917,-6952,14066,342,-253,550
34200,5800,-6845,14065,536,-306,426
34210,5813,-6823,14219,557,-325,383
34220,5930,-6625,14282,838,-488,133
34230,5918,-6490,14071,694,-339,83
34240,5872,-6585,14234,586,-95,86
34250,5899,-6457,14190,568,-254,49
34260,5943,-6503,14216,214,-203,167
34270,5991,-6475,14210,75,-164,102
34280,6024,-6389,14258,-7,-106,-18
34290,6032,-6338,14282,3,-62,-195
34300,6030,-6303,14268,-125,38,-386
34310,6048,-6343,14220,-179,75,-533
34320,5796,-6475,14322,-326,171,-663
34330,5876,-6391,14205,-162,-228,-854
34340,5442,-6571,14554,9,-2821,-1418
34350,6482,-6280,13781,572,-3303,-1407
34360,7336,-6104,13780,174,-2341,-1415
34370,7063,-6253,13934,350,-1061,-1148
34380,7337,-6245,14103,691,-1791,-1243
34390,7505,-5915,13567,582,-572,-1155
34400,7617,-5799,13985,728,-1686,-1263
34410,7724,-5827,13911,1211,-3472,-1455
34420,8471,-5270,13126,1154,-2924,-1476
34430,8756,-5289,13036,433,-1996,-1341
34440,8965,-5244,12996,-378,-175,-1125
34450,8839,-5314,13262,-528,-238,-1228
34460,8733,-5332,13022,-539,-596,-1347
34470,9087,-5419,12943,-1042,186,-972
34480,8925,-5520,13180,-834,-337,-987
34490,8954,-5395,12988,-703,-804,-1185
34500,9118,-5306,12856,-744,-470,-1163
34510,9123,-5396,12867,-845,585,-894
34520,8896,-5519,12925,-866,1963,-596
34530,9107,-5523,13081,-1312,2191,-551
34540,8644,-5824,12914,-1629,3747,-437
34550,8046,-5822,13769,-1471,3681,-381
34560,7296,-6054,13708,-1040,1957,-356
34570,7727,-6174,13760,-1133,963,-219
34580,7543,-6230,13532,-926,1039,-237
34590,7413,-6411,13733,-725,1014,-101
34600,7280,-6380,13721,-569,760,-5
34610,7175,-6591,13736,-175,70,133
34620,7241,-6522,13687,22,-121,243
34630,7194,-6474,13708,181,-169,381
34640,7100,-6465,13707,339,-155,576
34650,7326,-6412,13706,452,-357,683
34660,7205,-6477,13736,574,-118,743
34670,7254,-6407,13654,778,-344,778
34680,7282,-6394,13697,833,-132,884
